"","Sex","ag","n_draw","prob_symptoms_str"
"251","Male","50+",21,0.286016604566326
"252","Male","<2",21,0.0476694340943876
"253","Female","15-24",22,0.186549636234448
"254","Female","2-14",22,0.124366424156298
"255","Female","25-34",22,0.248732848312597
"256","Female","35-49",22,0.310916060390746
"257","Female","50+",22,0.373099272468895
"258","Female","<2",22,0.0621832120781492
"259","Male","15-24",22,0.186549636234448
"260","Male","2-14",22,0.124366424156298
"261","Male","25-34",22,0.248732848312597
"262","Male","35-49",22,0.310916060390746
"263","Male","50+",22,0.373099272468895
"264","Male","<2",22,0.0621832120781492
"265","Female","15-24",23,0.264783499283059
"266","Female","2-14",23,0.176522332855373
"267","Female","25-34",23,0.353044665710746
"268","Female","35-49",23,0.441305832138432
"269","Female","50+",23,0.529566998566119
"270","Female","<2",23,0.0882611664276865
"271","Male","15-24",23,0.264783499283059
"272","Male","2-14",23,0.176522332855373
"273","Male","25-34",23,0.353044665710746
"274","Male","35-49",23,0.441305832138432
"275","Male","50+",23,0.529566998566119
"276","Male","<2",23,0.0882611664276865
"277","Female","15-24",24,0.15372058048713
"278","Female","2-14",24,0.10248038699142
"279","Female","25-34",24,0.204960773982841
"280","Female","35-49",24,0.256200967478551
"281","Female","50+",24,0.307441160974261
"282","Female","<2",24,0.0512401934957101
"283","Male","15-24",24,0.15372058048713
"284","Male","2-14",24,0.10248038699142
"285","Male","25-34",24,0.204960773982841
"286","Male","35-49",24,0.256200967478551
"287","Male","50+",24,0.307441160974261
"288","Male","<2",24,0.0512401934957101
"289","Female","15-24",25,0.220181993210103
"290","Female","2-14",25,0.146787995473402
"291","Female","25-34",25,0.293575990946804
"292","Female","35-49",25,0.366969988683505
"293","Female","50+",25,0.440363986420206
"294","Female","<2",25,0.0733939977367009
"295","Male","15-24",25,0.220181993210103
"296","Male","2-14",25,0.146787995473402
"297","Male","25-34",25,0.293575990946804
"298","Male","35-49",25,0.366969988683505
"299","Male","50+",25,0.440363986420206
"300","Male","<2",25,0.0733939977367009
"301","Female","15-24",26,0.279304087141917
"302","Female","2-14",26,0.186202724761278
"303","Female","25-34",26,0.372405449522557
"304","Female","35-49",26,0.465506811903196
"305","Female","50+",26,0.558608174283835
"306","Female","<2",26,0.0931013623806391
"307","Male","15-24",26,0.279304087141917
"308","Male","2-14",26,0.186202724761278
"309","Male","25-34",26,0.372405449522557
"310","Male","35-49",26,0.465506811903196
"311","Male","50+",26,0.558608174283835
"312","Male","<2",26,0.0931013623806391
"313","Female","15-24",27,0.238115478584153
"314","Female","2-14",27,0.158743652389435
"315","Female","25-34",27,0.31748730477887
"316","Female","35-49",27,0.396859130973588
"317","Female","50+",27,0.476230957168305
"318","Female","<2",27,0.0793718261947176
"319","Male","15-24",27,0.238115478584153
"320","Male","2-14",27,0.158743652389435
"321","Male","25-34",27,0.31748730477887
"322","Male","35-49",27,0.396859130973588
"323","Male","50+",27,0.476230957168305
"324","Male","<2",27,0.0793718261947176
"325","Female","15-24",28,0.218610687713256
"326","Female","2-14",28,0.145740458475504
"327","Female","25-34",28,0.291480916951008
"328","Female","35-49",28,0.36435114618876
"329","Female","50+",28,0.437221375426512
"330","Female","<2",28,0.0728702292377521
"331","Male","15-24",28,0.218610687713256
"332","Male","2-14",28,0.145740458475504
"333","Male","25-34",28,0.291480916951008
"334","Male","35-49",28,0.36435114618876
"335","Male","50+",28,0.437221375426512
"336","Male","<2",28,0.0728702292377521
"337","Female","15-24",29,0.344693920598197
"338","Female","2-14",29,0.229795947065465
"339","Female","25-34",29,0.459591894130929
"340","Female","35-49",29,0.574489867663662
"341","Female","50+",29,0.689387841196394
"342","Female","<2",29,0.114897973532732
"343","Male","15-24",29,0.344693920598197
"344","Male","2-14",29,0.229795947065465
"345","Male","25-34",29,0.459591894130929
"346","Male","35-49",29,0.574489867663662
"347","Male","50+",29,0.689387841196394
"348","Male","<2",29,0.114897973532732
"349","Female","15-24",30,0.163935202503578
"350","Female","2-14",30,0.109290135002385
"351","Female","25-34",30,0.21858027000477
"352","Female","35-49",30,0.273225337505963
"353","Female","50+",30,0.327870405007156
"354","Female","<2",30,0.0546450675011926
"355","Male","15-24",30,0.163935202503578
"356","Male","2-14",30,0.109290135002385
"357","Male","25-34",30,0.21858027000477
"358","Male","35-49",30,0.273225337505963
"359","Male","50+",30,0.327870405007156
"360","Male","<2",30,0.0546450675011926
"361","Female","15-24",31,0.132391306143341
"362","Female","2-14",31,0.0882608707622275
"363","Female","25-34",31,0.176521741524455
"364","Female","35-49",31,0.220652176905569
"365","Female","50+",31,0.264782612286682
"366","Female","<2",31,0.0441304353811137
"367","Male","15-24",31,0.132391306143341
"368","Male","2-14",31,0.0882608707622275
"369","Male","25-34",31,0.176521741524455
"370","Male","35-49",31,0.220652176905569
"371","Male","50+",31,0.264782612286682
"372","Male","<2",31,0.0441304353811137
"373","Female","15-24",32,0.204916083152871
"374","Female","2-14",32,0.136610722101914
"375","Female","25-34",32,0.273221444203828
"376","Female","35-49",32,0.341526805254785
"377","Female","50+",32,0.409832166305742
"378","Female","<2",32,0.068305361050957
"379","Male","15-24",32,0.204916083152871
"380","Male","2-14",32,0.136610722101914
"381","Male","25-34",32,0.273221444203828
"382","Male","35-49",32,0.341526805254785
"383","Male","50+",32,0.409832166305742
"384","Male","<2",32,0.068305361050957
"385","Female","15-24",33,0.234236311760395
"386","Female","2-14",33,0.156157541173597
"387","Female","25-34",33,0.312315082347194
"388","Female","35-49",33,0.390393852933992
"389","Female","50+",33,0.468472623520791
"390","Female","<2",33,0.0780787705867985
"391","Male","15-24",33,0.234236311760395
"392","Male","2-14",33,0.156157541173597
"393","Male","25-34",33,0.312315082347194
"394","Male","35-49",33,0.390393852933992
"395","Male","50+",33,0.468472623520791
"396","Male","<2",33,0.0780787705867985
"397","Female","15-24",34,0.148357742512065
"398","Female","2-14",34,0.0989051616747103
"399","Female","25-34",34,0.197810323349421
"400","Female","35-49",34,0.247262904186776
"401","Female","50+",34,0.296715485024131
"402","Female","<2",34,0.0494525808373551
"403","Male","15-24",34,0.148357742512065
"404","Male","2-14",34,0.0989051616747103
"405","Male","25-34",34,0.197810323349421
"406","Male","35-49",34,0.247262904186776
"407","Male","50+",34,0.296715485024131
"408","Male","<2",34,0.0494525808373551
"409","Female","15-24",35,0.220325733884692
"410","Female","2-14",35,0.146883822589795
"411","Female","25-34",35,0.293767645179589
"412","Female","35-49",35,0.367209556474487
"413","Female","50+",35,0.440651467769384
"414","Female","<2",35,0.0734419112948973
"415","Male","15-24",35,0.220325733884692
"416","Male","2-14",35,0.146883822589795
"417","Male","25-34",35,0.293767645179589
"418","Male","35-49",35,0.367209556474487
"419","Male","50+",35,0.440651467769384
"420","Male","<2",35,0.0734419112948973
"421","Female","15-24",36,0.16451485973096
"422","Female","2-14",36,0.109676573153973
"423","Female","25-34",36,0.219353146307946
"424","Female","35-49",36,0.274191432884933
"425","Female","50+",36,0.329029719461919
"426","Female","<2",36,0.0548382865769865
"427","Male","15-24",36,0.16451485973096
"428","Male","2-14",36,0.109676573153973
"429","Male","25-34",36,0.219353146307946
"430","Male","35-49",36,0.274191432884933
"431","Male","50+",36,0.329029719461919
"432","Male","<2",36,0.0548382865769865
