Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Micronesia, Fed. Sts.",FSM,0.864057526946178,0.873362605015124,0.926551735053656,0.869832031159148,0.880549625532499,0.947756064200014,1.0116987931477,0.960855601547776,0.913286807662901,0.890568630675341,0.924514915112296,0.946808218876195
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Moldova,MDA,0.000742998243938378,2.13458861625609,5.34262221232369,5.62562628482252,5.49348894436303,5.67734336853027,5.88437271118164,5.77169275283813,5.60316753387451,5.94675874710083,6.62521706571716,6.94888047523769
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mongolia,MNG,1.7534787380855,137.049786702401,688.173608892972,723.239895521409,737.07136205792,801.668823242188,824.525756835938,851.149353027344,822.064819335938,870.184753417969,956.955962409813,1103.340170893
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Montenegro,MNE,..,0.293479398353862,0.36181143270726,0.359664862300244,0.349155744479868,0.350987300736956,0.348377363096368,0.329704000416168,0.320737542080014,0.326492325543266,0.338917784922477,0.355971914047
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Morocco,MAR,4.05760644557355,4.05308184080033,3.99033881576507,3.93905564348165,3.92247208626026,3.93708610534668,4.21316242218018,4.19297552108765,4.02811050415039,3.94628071784973,3.79919933253999,3.81892783199548
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mozambique,MOZ,0.844097820833733,10.5541556892518,18.748299031241,18.5234654605181,20.1860127645374,23.3438453674316,23.5512657165527,23.3787746429443,22.7560958862305,22.907154083252,22.7701752406588,23.4570282308295
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Myanmar,MMR,8.65096502641111,59.4078613855783,293.976979060097,318.935665460928,347.012266726298,366.639312744141,343.601440429688,350.685333251953,354.559967041016,410.472595214844,407.108357201274,422.318062837737
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Namibia,NAM,1.42377805129248,2.91832429803534,5.62612760005985,5.87619885260804,6.33865336896453,6.92160367965698,7.12966299057007,7.1147084236145,6.82631635665894,6.71698379516602,6.67976130651545,6.85819521829883
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nauru,NRU,0.602184174852836,0.93978806678416,1.03372847375238,0.935344367214054,1.16891592771371,1.32686419958565,1.52477009602537,1.43056859377208,1.47740566809148,1.65638483485102,1.36648678848697,1.41419412769361
