"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00192948040175913","0.0034612197258735","0.0231488900378276","0.345188503355057","14.5231047518872","37.9291093241536","45.360093301755","53.4051569524923","59.1187064708023","59.1505147474781","58.3379783235321","60.6878142866904","62.118468225405","64.9749957569786","69.054512012036","71.2703032696396","74.5615747892553","77.7512261584953","82.4081843354575","84.4661252560532","91.0280582047478","94.9254700292304","100","103.366824642245","105.753753195239","107.037508479879","107.324984550164","109.633160635444","112.68941468526","113.890258600166","115.94779169987","123.948784902119","133.846965459487","137.637676367334",
"American Samoa","ASM","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.6206896551724","71.5846994535519","69.2517006802721","68.3060109289617","70.2279202279202","72.4475524475524","80.4597701149425","101.19940029985","85.6502242152466","85.2017937219731","100","102.24358974359","101.259842519685","102.748091603053","104.192546583851","102.170283806344","103.90243902439","105.718954248366","112.83255086072","118.296529968454","135.038759689922","",
"Antigua and Barbuda","ATG","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.9187001536951","58.686900903386","60.4071511350467","61.806092344302","64.0244619546043","65.974883182204","68.2262151492263","69.9527617945579","71.8285567996551","73.2729192042225","74.3634050413794","75.9137207908927","76.8950458122033","76.5234550183873","78.3216209951436","81.9845483990867","82.9061117575837","86.5320467513661","90.6313913367686","91.63814755519","93.1094111084549","93.7319830071309","93.9126446421785","94.3604928636029","96.0385925085131","98.716312092808","98.2541210267635","98.5607274322443","100","100.718452311458","101.524269981556","106.512929537286","113.435051657703","118.886145582916",
"Australia","AUS","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.7055460398852","45.0250536088688","45.6915023959187","46.0886661686587","46.5587638370861","47.6264389620743","48.9177809446217","49.5404295613078","50.1030137144713","50.341203949206","51.6252825011705","54.0159038742595","55.5501213157323","57.2086367013505","59.0577701836822","61.3170305723149","64.4536350499949","67.6672803609342","70.7595547944178","74.2615589122159","75.1169472267541","79.7757743640267","81.215857972412","81.082841413165","82.2219686561495","81.7097905421342","81.1739606983481","84.1378109835792","85.7186009561115","88.6876556264284","90.5623578544649","93.3505683303578","100","106.557375685114",
"Austria","AUT","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.4221227185029","65.7318749502183","68.0187482039895","69.8940826625591","71.6588681435911","72.9587013895424","73.6782241171471","74.6117239282053","74.9414370363121","75.1335491811903","76.158401532135","77.6412858765368","78.53074108308","79.5575718131056","80.941649886225","82.9957823480576","84.566196230416","86.4445601727905","88.1356943641046","89.8008104656327","90.5848208974789","92.2456122838266","94.140554569286","95.6692918037125","97.7507755089035","100","101.848294698438","102.872414092458","104.763275362235","106.447739164286","109.342580281172","111.604014568839","117.515995879219","126.45540404068",
"Azerbaijan","AZE","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00255493308937798","0.00468956723455536","0.0546488977534665","0.462944212848655","6.87966301658957","44.4189812811194","56.1541043212809","61.3441499069767","60.752097047405","62.0656434562818","69.8193639087621","71.5753280506694","74.5917888226914","79.7844706229203","87.1661020060435","100","111.301219143831","134.707118425148","172.125333738561","139.688388111946","158.610321243664","194.336282806762","199.938867545439","200.828724484622","198.248084371587","180.703738380863","207.215507107444","240.727228422171","270.059545007326","269.407869916397","249.48255592103","303.342906315825","416.400509728352","378.06401613124",
"Burundi","BDI","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9814889935788","18.7174966547197","19.7285710329533","21.2560843849332","22.6671579530102","26.3171850583998","30.1208371338266","39.8793224629887","44.4457266159502","51.092202914069","57.82556042001","65.75714951698","66.4330400161365","74.3689639936029","84.1456264933397","100","102.845666333767","111.354474627567","138.31984452747","152.786435620874","165.867330590054","179.740889117828","205.433180650958","221.771495157498","233.537927858139","283.325287901007","286.082542856796","318.836655594085","309.747071139955","312.385705566925","331.024205972539","359.216609783849","425.067201198312","473.42297986013",
"Belgium","BEL","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.310998103119","66.1609840181352","68.4266831646566","71.159119320485","72.6494081547418","73.5362900295697","73.8867785045836","74.4465627743766","75.7908022968193","76.2447117313426","77.7807509506569","79.3229897968033","80.623893012855","82.1155065328796","83.6880110501444","85.4312944274965","87.3660630558931","89.0537317447947","90.7536298293876","91.2375094865492","92.963794203806","94.6439283615003","96.5000087460424","97.7267729767862","98.6870807670005","100","101.92085069495","103.786280298684","105.394792789226","107.258275397466","108.973861759771","112.43050562627","119.054577075622","123.911853938442",
"Benin","BEN","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5204429288091","31.7589329514759","32.7196833778794","33.4978627484591","44.7209788517124","51.4736015462237","55.0290343649075","57.0472292486725","60.0317148023981","65.160380574224","67.9890289655435","69.3286070003708","71.7926935395801","73.9907733987081","74.560288523362","77.7616568908371","79.3902325471868","79.6999761102808","84.8279938811868","86.9823637072546","87.7485788849948","91.0243062015658","98.0321838636733","99.4019859949445","99.1556851160345","100","100.683591111275","100.313178470008","100.985725781806","100.584253198484","103.479100482781","105.154142621048","109.50624124514","113.213536005662",
"Burkina Faso","BFA","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9449484954342","45.0822758670813","45.184639511351","44.5331494029402","51.0523401698361","54.5083635831275","54.6984370547377","55.5496540500468","59.9604721355856","70.3880926179316","69.8110699090614","72.5766723855375","74.7953311654443","75.9058389994757","75.9746465721331","78.815631411687","78.2932202663939","80.2445607023743","87.5948023246529","89.701899560814","93.0922893561271","99.3648522881927","105.151860776668","102.91299766421","102.27453888171","100","102.604299192266","104.057481090869","105.175023984024","105.714467213248","112.549537353455","112.369207519033","118.986771024614","121.364180847585",
